student_id,age,gender,learning_style,study_hours_daily,support_person,assignment_completion,handle_difficulty,enjoy_math,enjoy_science,enjoy_english,enjoy_filipino,enjoy_arpan,enjoy_mapeh,enjoy_tle,preferred_program,motivation_level,enjoy_science_experiments,enjoy_reading,enjoy_handson_activities,enjoy_sports,enjoy_arts,enjoy_language_related_activities,foreign_language_interest,competition_participation,device_availability,internet_access,absences_count,absence_reason,family_income_help,school_participation,received_awards,award_highest_honors,award_high_honors,award_with_honors,award_best_science,award_best_math,award_best_english,award_conduct,achiever_award,difficulty_reading,difficulty_writing,difficulty_math,difficulty_focusing,difficulty_social_interaction,extra_support_recommended,quiet_study_place,distance_from_school,travel_difficulty,grade_math,grade_science,grade_english,grade_filipino,grade_arpan,grade_mapeh,average_grade_tle,grade_esp,grade_6_final_average,actual_placement
student_001,12,0,3,3,1,2,1,1,0,0,0,0,0,0,3,3,0,0,1,1,1,0,2,1,1,3,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,NaN,3,88,86,88,88,89,90,88,88,88,3
student_002,12,0,3,3,1,2,3,0,0,0,0,0,0,1,3,2,0,0,1,1,0,0,2,0,3,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,82,86,84,84,86,86,88,88,86,3
student_003,13,0,3,2,1,2,1,1,1,1,1,1,1,1,3,2,0,0,1,1,1,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,82,83,83,85,87,86,86,88,85,3
student_004,12,0,1,1,2,3,1,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,1,2,1,2,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,3,85,86,87,82,85,84,85,90,86,3
student_005,12,1,3,3,2,1,3,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,1,1,1,3,3,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,3,3,92,93,92,95,95,92,96,97,94,3
student_006,12,1,5,2,1,1,3,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,1,0,2,2,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,91,86,93,90,91,88,85,87,89,3
student_007,13,1,5,2,1,1,3,0,0,0,0,0,1,0,5,2,0,0,1,0,0,0,2,0,1,2,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2,84,84,86,85,86,89,87,88,86,3
student_008,12,0,5,3,4,1,4,1,0,0,1,1,1,1,3,2,0,0,1,0,0,0,2,1,2,1,1,2,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,3,3,88,86,87,88,84,87,86,88,87,3
student_009,12,0,5,2,1,1,1,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,1,0,2,2,2,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,85,85,87,84,84,84,87,84,84,3
student_010,12,0,5,2,1,3,2,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,2,1,1,1,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,2,3,87,94,89,85,89,87,90,87,88,3
student_011,12,0,5,2,4,4,3,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,3,0,1,2,1,4,3,2,NaN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,85,87,90,89,88,88,89,92,89,3
student_012,12,1,NaN,2,1,3,1,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,2,1,2,NaN,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,87,84,84,85,85,88,88,88,86,3
student_013,12,1,5,1,2,3,3,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,2,0,1,2,2,4,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,4,3,86,87,86,91,85,86,91,94,88,3
student_014,13,0,5,2,2,4,2,0,0,0,0,1,0,0,6,2,0,0,0,1,0,0,1,1,1,1,4,2,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,88,89,89,89,89,90,90,89,89,3
student_015,13,1,5,1,2,3,3,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,2,0,1,2,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,82,85,93,90,88,88,85,90,88,3
student_016,13,1,3,1,1,3,1,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,1,0,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,85,86,86,86,87,86,88,86,86,3
student_017,15,1,1,1,4,1,1,0,0,0,0,0,1,0,5,NaN,1,0,0,0,0,0,2,1,2,2,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,86,87,86,91,85,86,91,94,88,3
student_018,13,1,5,2,1,3,1,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,1,1,1,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,3,87,90,88,89,88,92,91,90,89,3
student_019,13,1,1,1,4,3,1,0,0,0,0,0,0,1,5,2,0,0,1,0,0,0,2,0,3,1,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,3,89,87,88,90,88,89,87,92,89,3
student_020,12,1,3,2,1,3,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,3,1,1,2,1,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,87,86,87,87,88,91,86,91,88,3
student_021,15,0,4,2,1,4,4,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,3,0,3,2,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,82,79,79,85,84,84,84,86,83,5
student_022,13,0,3,4,1,1,3,0,0,0,0,1,0,0,6,2,1,0,0,0,0,0,1,0,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,79,77,81,77,78,82,78,83,79,5
student_023,12,0,3,1,1,2,1,0,1,0,0,0,0,0,6,2,0,0,0,0,1,0,2,0,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,78,79,82,84,85,83,81,83,82,5
student_024,12,0,5,1,4,1,3,1,1,1,0,0,0,0,1,3,1,0,0,0,0,1,1,1,1,1,2,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,3,82,84,83,84,78,88,89,84,84,5
student_025,16,0,4,2,1,4,4,1,0,0,0,0,0,0,6,1,0,0,0,1,0,0,3,0,3,2,2,5,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,3,81,80,81,81,84,79,82,81,81,5
student_026,12,0,3,2,1,1,1,0,1,1,1,1,1,1,6,2,0,0,1,0,0,0,1,1,3,3,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,82,81,82,82,83,84,84,84,83,5
student_027,13,0,3,1,1,3,1,1,1,1,1,1,1,1,6,2,0,0,0,0,0,0,1,1,2,2,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,83,85,85,82,85,85,85,86,85,5
student_028,13,0,1,2,1,2,1,0,1,0,0,0,0,0,6,2,1,0,0,0,0,0,2,0,2,NaN,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,76,77,75,75,77,80,78,79,77,5
student_029,15,0,3,1,4,1,4,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,2,0,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,79,84,79,82,84,80,80,86,82,5
student_030,12,0,3,2,1,3,3,0,0,1,0,0,0,0,3,2,0,0,0,1,0,0,1,0,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,81,81,81,81,82,81,81,81,81,5
